ID,YEAR,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,latitude,longitude,REGION_CODE,MAXIMUM_WATER_HEIGHT
1799,1949,19,60,7.5,PAPUA NEW GUINEA,SOLOMON SEA,-5.5,154,82,0.3
5202,1949,17,33,7.8,CHILE,SOUTHERN CHILE,-54,-71,89,
1801,1949,17,33,7.8,CHILE,SOUTHERN CHILE,-54,-71,89,
1802,1949,29,33,7.2,PHILIPPINES,E. LUZON ISLAND,17,121.63,84,
1803,1950,30,33,7,CHILE,SOUTHERN CHILE,-53.5,-71.5,89,
1804,1950,14,,5.8,NEW ZEALAND,N. NEW ZEALAND,-37.8,177.2,81,
5579,1950,30,,,PANAMA,OFF COAST,6.5,-83,88,
1805,1950,3,,6.8,VENEZUELA,EL TOCUYO,10.5,-68,74,
1806,1950,15,33,8.6,INDIA,INDIA-CHINA,28.5,96.5,60,0.5
1808,1950,5,33,7.7,COSTA RICA,COSTA RICA-NICARAGUA,11,-85,88,0.1
1809,1950,8,,7.6,INDONESIA,JAVA TRENCH,-3.8,128.3,83,
4256,1950,8,,,NORWAY,MID-NORWAY,63.433,10.383,73,
1810,1950,23,65,7.5,GUATEMALA,GUATEMALA,14.31,-91.917,88,0.2
1811,1950,8,33,7.3,SOLOMON ISLANDS,SOLOMON SEA,-10,159.5,82,
5660,1950,2,60,7.8,VANUATU,VANUATU ISLANDS,-18.25,167.5,82,
1812,1950,10,80,7,PERU,S. PERU,-14.25,-77.75,89,0.7
1813,1950,14,50,7.5,MEXICO,S. MEXICO,16.48,-98.22,88,0.3
3145,1951,22,,,PAPUA NEW GUINEA,BISMARCK SEA,-3.7,142.2,82,6
1814,1951,23,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
3383,1951,3,100,6,NICARAGUA,COSIGUINA VOLCANO,13,-87.5,88,
1815,1951,21,12,6.9,USA,HAWAII,19.5,-156,80,3.6
3310,1951,22,21,7.3,TAIWAN,TAIWAN,23.8,121.7,84,0.3
3571,1951,21,,6.3,CHINA,CHINA: GANSU AND SHANXI PROVINCES,26.7,100,84,2
1816,1951,22,,,SOLOMON ISLANDS,KAVACHI,-9.02,157.95,82,
4239,1952,9,,,NORWAY,MID-NORWAY,64.883,12.417,73,2
1817,1952,4,45,8.1,JAPAN,SE. HOKKAIDO ISLAND,42.15,143.85,85,6.54
1818,1952,9,20,7,JAPAN,SE. HOKKAIDO ISLAND,41.7,143.6,85,0.3
1819,1952,17,33,4.5,USA,HAWAII,19.1,-155,80,1
1820,1952,19,25,7.8,PHILIPPINES,E. OF MINDANO, PHILIPPINES,9.5,127.25,84
1821,1952,10,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
2460,1952,6,,,USA,LAKE HURON, MI,43.1,-82.4,75
1822,1952,13,64,6.9,COSTA RICA,COSTA RICA-PANAMA,10.3,-85.3,88,0.1
1823,1952,13,260,6.8,VANUATU,OFF EAST COAST OF VANUATU,-18.5,169.25,82,
1824,1952,16,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.15
1825,1952,23,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.05
1826,1952,24,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.15
1827,1952,26,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.1
1828,1952,13,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
1829,1952,4,22,9,RUSSIA,KAMCHATKA,52.755,160.057,86,18.4
1830,1953,14,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
1831,1953,15,,5.5,PERU,CENTRAL PERU,-12,-77.5,89,0.7
1832,1953,16,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
1833,1953,11,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,6
1835,1953,17,,5.8,RUSSIA,N. KURIL ISLANDS,50,156.5,86,3
5566,1953,25,,,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,85,0.05
2336,1953,23,35,7.4,PAPUA NEW GUINEA,RABAUL, NEW BRITAIN,-4.449,152.868,82
1836,1953,6,60,7.6,CHILE,CENTRAL CHILE,-36.5,-72.5,89,
1837,1953,31,33,7.2,DOMINICAN REPUBLIC,PUERTO PLATA,19.8,-70.7,74,0.06
1838,1953,27,,,PAPUA NEW GUINEA,BISMARCK SEA,-2.4,147.4,82,
3398,1953,12,,7.2,GREECE,IONIAN SEA,38.3,20.8,50,
1839,1953,19,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
3396,1953,10,,6.5,CYPRUS,LEVANTIAN SEA,35,32.5,50,
1840,1953,14,33,6.4,FIJI,FIJI ISLANDS,-18.3,178.2,81,15
1841,1953,25,60,7.4,JAPAN,KASHIMA, JAPAN,34,141.7,85
1842,1953,12,30,7.4,PERU,N. PERU,-3.4,-80.6,89,1
3572,1954,11,,7.3,CHINA,CHINA: GANSU AND SHANXI PROVINCES,,,84,
3395,1954,,,,ITALY,STROMBOLI ISLAND,38.789,15.213,50,
2461,1954,26,,,USA,MICHIGAN CITY, IN (LAKE MICHIGAN),41.7,-86.883,75
3394,1954,9,,6.7,ALGERIA,SEA OF ALBORAN,36.283,1.467,50,0.33
1846,1954,,,,GREENLAND,APUTITEQ POINT,67.47,-32.283,72,18.28
1847,1954,18,30,6.1,JAPAN,MIYAGI, JAPAN,38.9,142.2,85
1848,1955,18,,5.5,VENEZUELA,OFF THE COAST NEAR LA VELA,11.46,-69.57,74,
3393,1955,19,,6.2,GREECE,VOLOS GULF,39.4,23.1,50,
1849,1955,19,30,7.1,CHILE,CENTRAL CHILE,-30,-72,89,1
1850,1955,17,,7.3,INDIA,LITTLE NICOBAR ISLAND,6.5,94,60,
1852,1955,8,33,6.5,PAPUA NEW GUINEA,SOLOMON SEA,-6.9,155.7,82,
3573,1955,23,10,6.8,CHINA,JINSHA RIVER, YUNNAN PROVINCE,26.6,101.8,84
1854,1956,8,55,7.1,CHILE,NORTHERN CHILE,-19,-70,89,
5540,1956,2,,5.3,NEW ZEALAND,LAKE TAUPO, NORTH ISLAND,-38.9,175.8,81
1855,1956,5,20,6.3,JAPAN,NE. HOKKAIDO ISLAND,44.3,144.1,85,0.4
1856,1956,30,,,RUSSIA,KAMCHATKA,55.978,160.587,86,0.3
1859,1956,9,20,7.8,GREECE,CYCLADES,36.9,26,50,30
3392,1956,9,,6.8,GREECE,AMORGOS ISLAND, AEGEAN ISLANDS,36.8,25.5,50
1863,1956,12,50,6.5,JAPAN,IZU PENINSULA,33.8,138.8,85,
1864,1956,2,,5.8,GREECE,NORTH AEGEAN,39.5,23,50,1.2
1865,1956,18,33,7,CHILE,NORTHERN CHILE,-25.5,-71,89,
1867,1957,9,33,8.6,USA,ANDREANOF ISLANDS, AK,51.292,-175.629,87
1869,1957,22,33,7.3,INDONESIA,NW. IRIAN JAYA,-1.5,137,83,1.8
1870,1957,28,25,7.9,MEXICO,S. MEXICO,16.5,-99.1,88,1.3
1871,1957,29,33,7,CHILE,NORTHERN CHILE,-23.5,-71.5,89,
1872,1957,26,,5.5,INDONESIA,SOUTH OF JAVA,-8.2,107.3,60,0.7
1873,1957,26,,6,INDONESIA,MAKASSAR STRAIT,-2,116,83,
1876,1957,1,,,USA,HAWAII,,,80,0.1
1875,1957,,,,SOLOMON ISLANDS,MALAITA ISLAND, SOLOMON ISLANDS,-8.57,160.72,82
1877,1958,19,60,7.6,ECUADOR,COLOMBIA-ECUADOR,1.5,-79.5,89,
3574,1958,7,,6.2,CHINA,SICHUAN PROVINCE,31.5,105,84,
1878,1958,9,,,PERU,PERU,,,89,
1879,1958,21,200,6.5,INDONESIA,BENGKULU, SUMATRA,-4.5,104,60
1880,1958,10,35,7.8,USA,SE. ALASKA, AK,58.37,-136.665,87
1881,1958,17,40,5,RUSSIA,N. KURIL ISLANDS,48.6,156.1,86,0.23
1882,1958,7,,,VANUATU,KUWAE VOLCANO,-16.829,168.536,82,
1883,1958,4,,6.1,PACIFIC OCEAN,EAST PACIFIC RISE,-50,-115,89,0.1
1884,1958,6,40,8.3,RUSSIA,S. KURIL ISLANDS,44.53,148.54,86,5
1885,1958,12,29,7,RUSSIA,S. KURIL ISLANDS,44.2,148.8,86,1
1886,1959,22,40,6.8,JAPAN,SANRIKU,37.5,142.2,85,0.8
1887,1959,7,19,7.4,PERU,N. PERU,-4,-81.5,89,0.4
1888,1959,23,,,GREECE,GRECIAN ARCHIPELAGO, CRETE,40.63,22.97,50
1889,1959,9,40,5,RUSSIA,S. KURIL ISLANDS,44.3,149,86,0.1
1890,1959,4,60,8.2,RUSSIA,KAMCHATKA,52.5,159.5,86,0.2
